Date,error_bull,error_bear,min_error,argmin_regime,gap
2010-12-20,0.0024756724,0.0072364067,0.0024756724,bull,0.0047607343
2010-12-21,0.0026577364,0.007408055,0.0026577364,bull,0.004750319
2010-12-22,0.0028028763,0.007846221,0.0028028763,bull,0.005043345
2010-12-23,0.002926009,0.007904962,0.002926009,bull,0.004978953
2010-12-27,0.0029613199,0.008349308,0.0029613199,bull,0.005387988
2010-12-28,0.0029675008,0.008470476,0.0029675008,bull,0.0055029746
2010-12-29,0.0030443866,0.008920785,0.0030443866,bull,0.0058763986
2010-12-30,0.0029552565,0.009017799,0.0029552565,bull,0.0060625426
2010-12-31,0.0029558153,0.008995989,0.0029558153,bull,0.006040174
2011-01-03,0.0028017624,0.008989584,0.0028017624,bull,0.0061878213
2011-01-04,0.0025963741,0.008842063,0.0025963741,bull,0.006245689
2011-01-05,0.0024618069,0.008578284,0.0024618069,bull,0.006116477
2011-01-06,0.0022343113,0.008591791,0.0022343113,bull,0.0063574794
2011-01-07,0.0022189699,0.008498262,0.0022189699,bull,0.0062792916
2011-01-10,0.0021632297,0.008518777,0.0021632297,bull,0.0063555473
2011-01-11,0.002083581,0.0084581645,0.002083581,bull,0.0063745836
2011-01-12,0.0021589173,0.008858965,0.0021589173,bull,0.0067000473
2011-01-13,0.0021612823,0.009117515,0.0021612823,bull,0.0069562327
2011-01-14,0.0022728378,0.009327333,0.0022728378,bull,0.0070544956
2011-01-18,0.0022892968,0.0095829405,0.0022892968,bull,0.0072936434
2011-01-19,0.0023426036,0.009670166,0.0023426036,bull,0.0073275627
2011-01-20,0.0024196669,0.010027703,0.0024196669,bull,0.007608036
2011-01-21,0.002471724,0.010233134,0.002471724,bull,0.00776141
2011-01-24,0.002435075,0.010454887,0.002435075,bull,0.0080198115
2011-01-25,0.0021775211,0.010496485,0.0021775211,bull,0.008318964
2011-01-26,0.0019551378,0.010829293,0.0019551378,bull,0.008874156
2011-01-27,0.0018948849,0.011041684,0.0018948849,bull,0.009146799
